Num,Address,Checkins,City,Country,Created,Latitude,Longitude,Title,Type
148,просп. Испытателей ,1,2,1,1280741941,60.004586,30.285519,Malina,4
149,Невский просп. 32К34,4,2,1,1280741941,59.935534,30.328561,RAFINAD,4
150,Республиканская 3К4,95,169,1,1280741941,57.640084,39.885908,Король Королю,4
151,Гоголя 15,135,99,1,1280741941,55.043154,82.92405,Изюм,4
152,Подольская 21,4,60,1,1280741941,55.786764,49.122903,Тихое место,4
153,Октябрьская 35,35,99,1,1280741941,55.025003,82.919019,Rublev Bar,4
154,добавочный 1а,5,42,1,1280741941,51.653282,39.174568,Black and White,4
155,Декабристов пл. 10,12,1,1,1280741941,55.764085,37.487335,Бульвар,4
156,наб. Большой Невки 10,13,110,1,1280741941,58.008052,56.183863,Студклуб ПГУ,4
157,Жуковского 102,43,99,1,1280741941,55.0619,82.891297,Танцуки,4
158,Верхний ,6,99,1,1280741941,55.04157,82.934075,Красная площадь,4
159,Ленинградский просп. 31,768,1,1,1280741941,55.785994,37.559056,Arena Moscow,4
160,выборгская 14,3,1,1,1280741941,55.752242,37.633167,Лед,4
161,Комендантский просп. 271,10,2,1,1280741941,60.018425,30.24845,Take Five,4
162,Забелина 1,3,1,1,1280741941,55.754466,37.637367,Подвал на Солянке,4
163,Петрозаводская 22,0,1,1,1280741941,55.77716,37.565003,Times,4
164,Липецкая 10,2,133,1,1280741941,43.605614,39.715731,Agava,4
165,Красных Партизан 204,1,72,1,1280741941,45.049666,38.964848,Chicago,4
166,Шпалерная 24,0,2,1,1280741941,59.94946,30.350902,Пегас,4
167,наб. канала Грибоедова 7,3,2,1,1280741941,59.938982,30.327381,Бархат,4
168,Тушинская ,9,146,1,1280741941,54.190994,37.612757,Комплекс «Карамболь»,4
169,Щукинская ,0,146,1,1280741941,54.18846,37.681146,Петушки,4
170,Д Ульянова 23,2,146,1,1280741941,54.191747,37.584496,Бавария,4
171,Ломоносовский пр. 5,7,146,1,1280741941,54.511823,37.0514,Summer Club,4
172,просп. Ленина 82,4,87,1,1280741941,68.971302,33.077546,The Centre,4
173,Ф.Энгельса 66,4,146,1,1280741941,54.176525,37.594081,Чили,4
174,Петроградская наб. ,6,2,1,1280741941,59.957185,30.335727,Забава-бар,4
175,Садовая 11,0,2,1,1280741941,59.935412,30.334948,Seven Rooms,4
176,Комендантский просп. 9К2,1,2,1,1280741941,60.005459,30.263398,Versailles,4
177,Страстной б-р 4К3,1,1,1,1280741941,55.764987,37.608472,Пурга,4
178,Маяковскай 71,4,61,1,1280741941,54.681373,20.482882,Подводная лодка,4
179,Марата 23,0,2,1,1280741941,59.927874,30.352537,Barry White,4
180,Бекетова 73а,3,95,1,1280741941,56.293857,44.03051,Звезда,4
181,Лесная 23,5,123,1,1280741941,53.213078,50.125984,Леди-Рай,4
182,осковский просп 37,4,60,1,1280741941,55.767438,49.183867,Банзай,4
183,Средний просп. В.О. ,0,2,1,1280741941,59.938725,30.263496,Dance jazz-hall,4
184,Болотная наб. 9а,8,1,1,1280741941,55.740841,37.611212,Элизиум,4
185,Ворошиловский просп. 12,1,119,1,1280741941,47.219936,39.720259,Тема,4
186,Невский 2а,20,1463,1,1280741941,55.996198,37.21696,Bell Pub,4
187,Максима Горького 87,2,99,1,1280741941,55.028068,82.928604,Оскар,4
188,3-я Советская 7,1,2,1,1280741941,59.932117,30.369471,Галар «Кампот»,4
189,Невский просп. 7К9,10,2,1,1280741941,59.936544,30.313829,Celebrity,4
190,Енисейская 5К2,4,1,1,1280741941,55.858902,37.659578,Sharhouse,4
191,Мориса Тереза просп ,1,119,1,1280741941,47.227163,39.744968,Stereo Пляж,4
192,Болдина ,6,146,1,1280741941,54.17847,37.573744,Корона,4
193,Шолохова 316,16,119,1,1280741941,47.269994,39.824239,Zoloto,4
194,Моховая 11,169,1,1,1280741941,55.756184,37.61132,Дума,4
195,Садовая 28-30,7,2,1,1280741941,59.928077,30.327645,Черт Побери!,4
196,Сельскохозяйственная 15К3,0,1,1,1280741941,55.836686,37.638144,Сирена,4
197,Лесная 43,8,1,1,1280741941,55.780709,37.590506,Поляна,4
198,Чапаева 5,16,2,1,1280741941,59.958989,30.332747,Baranka,4
199,Новослободская 36К1,13,1,1,1280741941,55.784703,37.59648,New York Bar & Lounge,4
200,Заневский просп. 38,7,2,1,1280741941,59.933,30.431427,Las Vegas,4
201,Покровка 17,215,1,1,1280741941,55.759653,37.645258,Cuba Libre,4
202,Рубинштейна 13,45,2,1,1280741941,59.929538,30.343509,Terminal,4
203,Белинского 9,3,2,1,1280741941,59.937756,30.346402,Et Cetera,4
204,наб. канала Грибоедова 7,151,2,1,1280741941,59.938982,30.327281,Акакао,4
205,Красная 64,162,72,1,1280741941,45.026616,38.971405,Сахар,4
206,В. Красносельская 44а,2,10,1,1280741941,48.808495,44.767952,Sweet Life,4
207,Ниж.Сусальный пер. 5,1,1,1,1280741941,55.761338,37.663033,Aura,4
208,Ленина 8,0,57,1,1280741941,52.28858,104.278423,Амстердам,4
209,Рождественская 20,102,95,1,1280741941,56.328414,43.990311,Shizgara,4
210,Стасова 182,3,72,1,1280741941,45.02982,39.046181,Улетов и Ко,4
211,Коломенская 4,2,2,1,1280741941,59.925922,30.355592,Киса,4
212,Санкт-петербургское ш. 14,0,112,1,1280741941,61.760043,34.438345,Улетай,4
213,В.Первомайская 22К47,18,146,1,1280741941,54.039296,38.258098,Nova,4
214,Беговая ,0,146,1,1280741941,54.193845,37.619003,Плетенка,4
215,Менделеева 160,0,151,1,1280741941,54.710402,55.966399,О2,4
216,Льва Толстого 18б,9,1,1,1280741941,55.735241,37.585368,Vodka Bar,4
217,Лиговский просп. 50,11,2,1,1280741941,59.925302,30.358064,Пьяная груша,4
218,просп. Художников ,8,2,1,1280741941,60.043296,30.349744,Вотель-Шале,4
219,Большевистская 88,17,110,1,1280741941,58.009773,56.241948,Абырвалг,4
220,Грина 11б,7,1,1,1280741941,55.566909,37.566656,Индиго,4
221,Дербеневская 20,22,1,1,1280741941,55.721594,37.647738,One Rock,4
222,Кронштадтский б-р 9К3,7,1,1,1280741941,55.84262,37.489401,Майер,4
223,Садовая 12,3,2,1,1280741941,59.935015,30.336116,BarBar,4
224,Олимпийский просп. 16К1,3,1,1,1280741941,55.78116,37.626471,Удар,4
225,Чистопрудный б-р 25,3,1,1,1280741941,55.760104,37.646875,Рублев,4
226,2-я Фрунзенская ,0,133,1,1280741941,43.582795,39.722321,Плотформа,4
227,Юных Ленинцев 52,7,1,1,1280741941,55.699786,37.76548,Visota,4
228,Верности 9,30,2,1,1280741941,60.007582,30.398594,Моцарт,4
229,Бебеля 17,2,49,1,1280741941,56.844235,60.561551,Нирвана,4
230,Московский просп. 9,5,42,1,1280741941,51.684999,39.182815,Пульс,4
231,пересечение Университетской наб. и 1-й линии В.О. ,12,99,1,1280741941,54.971636,82.881874,Sky City,4
232,Тельмана 19,6,78,1,1280741941,52.620084,39.592806,Солярис,4
233,Смоленский б-р 7К1,2,1,1,1280741941,55.73999,37.58438,JazzLife,4
234,Левобережная 69,4,119,1,1280741941,47.203917,39.76951,Загородный клуб «Калифорния SUN»,4
235,Бакунинская К2,8,1,1,1280741941,55.773191,37.679394,G-Lounge,4
236,Садовая 28К13,3,2,1,1280741941,59.930146,30.327636,City Сlub,4
237,Лиговский просп. 53,91,2,1,1280741941,59.929136,30.359379,Fish Fabrique,4
238,Садовая К13,8,2,1,1280741941,59.935051,30.335074,Money Honey,4
239,Лиговский просп. 174,35,2,1,1280741941,59.920785,30.355071,Метро,4
240,Санкт-Петербургскийский просп. ,15,1463,1,1280741941,55.984562,37.16015,Дебаркадер,4
241,Б.Морская 46,1,2,1,1280741941,59.93163,30.306418,Buddha Bar.spb,4
242,Маяковская 54,0,49,1,1280741941,56.898082,60.592408,Миллениум,4
243,угол Кронверкского просп. и Крестьянского пер. 42,0,49,1,1280741941,56.778164,60.640495,От заката до рассвета,4
244,Толмачева 18,4,49,1,1280741941,56.839651,60.609616,Мастер и Маргарита,4
245,Литейный просп. 33,22,2,1,1280741941,59.941042,30.347291,Jimi Hendrix Blues Club,4
246,Бажова 75а,0,49,1,1280741941,56.844284,60.626145,Золотой скорпион,4
247,Зеленоградская 9,1,49,1,1280741941,56.848798,60.61223,Атмосфера,4
248,Высоцкого 14,10,49,1,1280741941,56.841374,60.681045,Carabas,4
249,Дзержинского ,6,49,1,1280741941,56.84484,60.605892,Эльдорадо,4
250,Вознесенский просп. 46,4,2,1,1280741941,59.920754,30.308655,Луна,4
251,Фурманова 109,0,49,1,1280741941,56.813242,60.593486,Провокация,4
